sample    	read_local_address                                             	contig_local_address                                             	fwd                                                                     	rev                                                                     	contigs                                         	Date      	Depth 	Ocean   	Location	Lon      	Lat       	cruise_id	cruise_station
SRR5720219	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5720219/SRR5720219_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5720219/SRR5720219_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/009/SRR5720219	2004-10-10	5     	Pacific 	ALOHA   	-29.998  	153.5     	HOT164   	HOT
SRR5720220	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5720220/SRR5720220_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5720220/SRR5720220_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/000/SRR5720220	2004-10-10	115   	Pacific 	ALOHA   	-29.998  	153.5     	HOT164   	HOT
SRR5720221	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5720221/SRR5720221_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5720221/SRR5720221_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/001/SRR5720221	2004-08-15	175   	Pacific 	ALOHA   	-30      	154.003   	HOT162   	HOT
SRR5720222	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5720222/SRR5720222_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5720222/SRR5720222_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/002/SRR5720222	2004-09-28	5     	Pacific 	ALOHA   	-30      	154.003   	HOT163   	HOT
SRR5720223	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5720223/SRR5720223_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5720223/SRR5720223_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/003/SRR5720223	2004-09-28	115   	Pacific 	ALOHA   	-30      	154.003   	HOT163   	HOT
SRR5720224	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5720224/SRR5720224_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5720224/SRR5720224_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/004/SRR5720224	2004-09-28	175   	Pacific 	ALOHA   	-30      	154.003   	HOT163   	HOT
SRR5720225	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5720225/SRR5720225_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5720225/SRR5720225_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/005/SRR5720225	2004-06-15	125   	Pacific 	ALOHA   	-30      	154.003   	HOT160   	HOT
SRR5720226	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5720226/SRR5720226_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5720226/SRR5720226_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/006/SRR5720226	2004-06-15	175   	Pacific 	ALOHA   	-30      	162.998   	HOT160   	HOT
SRR5720227	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5720227/SRR5720227_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5720227/SRR5720227_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/007/SRR5720227	2004-08-15	5     	Pacific 	ALOHA   	-30      	162.998   	HOT162   	HOT
SRR5720228	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5720228/SRR5720228_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5720228/SRR5720228_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/008/SRR5720228	2004-08-15	100   	Pacific 	ALOHA   	-30      	159       	HOT162   	HOT
